93,"WANG, Yumin",A14 / 61 ,PSU / PREMIERFC ,New Jersey ,TPE ,2 
94,"HARRIS, Emma",A16 ,BAY STATE / PENN ,New England ,USA ,2 
95,"PARK, Faith",B17 ,PENTA ,Virginia ,USA ,2 
96,"HUELLAS-BRUSKIEWICZ, Marie-Rose",C16 / 107 ,,,CAN ,2 
97,"BOUDREAU, Justine",A17 ,,,CAN ,2 
98,"LIN, Vera",A15 / 112 ,CORNELF ,Long Island ,USA ,2 
99,"KIM, Natalie",B17 ,WCFA ,Illinois ,USA ,1 
100,"PFEIFFER, Rebecca",B17 ,MARX FENCING ,New England ,USA ,1 
101,"VAN RIPER, Katharine",B16 / 93 ,NOWESTU / DUNWOODY ,Illinois ,USA ,1 
102,"MEDINA, Elizabeth",B16 ,,San Diego ,MEX ,1 
103,"GAO, Emily",A17 / 48 ,NORTHSFC ,Long Island ,USA ,1 
104,"GANSER, Yuliya",A16 ,MEDEO F.C. ,New Jersey ,USA ,1 
105,"BEIHOLD, Emily",B16 / 55 ,U.C.S.D. ,San Diego ,USA ,1 
106,"MA, Joy",A17 / 34 ,NORTHSFC ,Long Island ,USA ,1 
107,"MICEK, Alexandria",B16 / 94 ,TU OWLS / ALLIANCE F.A. ,Gulf Coast ,USA ,1 
108T,"SHEPARD, Jazzy",A17 ,ORION ,Oregon ,USA ,1 
108T,"CRUZ BERNAL, Jocelyn Nahomi",B17 ,,,MEX ,1 
110,"MOREIRA-BROWN, Caira",A14 ,PETERWE / OSU VARSITY FENCING TEAM ,Metro NYC ,JAM ,1 
111,"KULKARNI, Diya",C17 ,MEDEO F.C. ,New Jersey ,USA ,0 
112T,"BINDAS, Blodwen",B17 / 56 ,DURKAN / ATLANTIC F.A. ,New Jersey ,USA ,0 
112T,"KOZAK, Maeve",B15 ,WOODLANDS ,Gulf Coast ,USA ,0 
114,"ALDADAH, Huda",A16 / 40 ,PEORIA ,Illinois ,USA ,0 
115,"PLANTE, Marilyne",B17 ,,,CAN ,0 
116,"BARRY, Julia",A15 / 62 ,NOTREDAME / NORCOLO ,Colorado ,CAN ,0 
117,"PAPADOPOULOS, Maria",A17 ,UNAT / DUKEUNIVFC ,Virginia ,USA ,0 
118,"SHAMSIAN, Shaya",B17 / 96 ,LAIFC ,Southern CA ,USA ,0 
119,"SHOATES, Jacqueline",C17 ,FENCERS / PETERWE ,Metro NYC ,USA ,0 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
