146,"HU, James",A15 ,,Michigan ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
147,"LOUIE, Brennan",A15 ,LAIFC ,Southern CA ,PHI ,2 ,0.33 ,18 ,24 ,-6 ,Advanced
148,"KIM, John",B16 ,,Southern CA ,USA ,2 ,0.33 ,17 ,23 ,-6 ,Advanced
149,"PARK, Noah",B16 ,GUTKOVSKIY / FENCERS ,New Jersey ,USA ,2 ,0.33 ,19 ,26 ,-7 ,Advanced
150,"DING, Allan",A17 ,MARX FENCING ,New England ,USA ,2 ,0.33 ,17 ,24 ,-7 ,Advanced
151T,"LEMAY, Teo",C17 ,,,CAN ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
151T,"RAMOS, Damian",C16 ,NAPLES FA ,Gold Coast ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
153,"WANG, Christopher",C17 ,FIT ,North TX ,USA ,2 ,0.33 ,17 ,25 ,-8 ,Advanced
154,"MCGOFF, Jose",B14 ,FSA ,Virginia ,PUR ,2 ,0.33 ,19 ,28 ,-9 ,Advanced
155,"LUI, Sebastian",C16 ,M TEAM ,Northern CA ,USA ,2 ,0.33 ,15 ,24 ,-9 ,Advanced
156,"PAEK, Alex",B17 ,ANAHEIM HILL FENCERS ,Orange Coast ,USA ,2 ,0.33 ,15 ,26 ,-11 ,Advanced
157,"MCGILLION-MOORE, Jake",B17 ,FAIRFIELD FENCING ,Connecticut ,USA ,2 ,0.33 ,14 ,26 ,-12 ,Advanced
158,"TSAI, Yueh-Ting",A16 ,JJL FENCING ,Utah-S.Idaho ,TPE ,1 ,0.20 ,15 ,21 ,-6 ,Advanced
159,"CONCEPCION, Nicholas",B16 ,NJIT ,New Jersey ,USA ,1 ,0.20 ,14 ,22 ,-8 ,Advanced
160,"ROMANOV, Michael",B16 ,,Illinois ,USA ,1 ,0.20 ,12 ,24 ,-12 ,Advanced
